"food";"Folate, total";"Iron, Fe";"MUFA 12:1";"MUFA 14:1 c";"MUFA 15:1";"MUFA 16:1 c";"MUFA 17:1";"MUFA 17:1 c";"MUFA 18:1";"MUFA 18:1 c";"MUFA 20:1";"MUFA 20:1 c";"MUFA 22:1";"MUFA 22:1 c";"MUFA 22:1 n-11";"MUFA 22:1 n-9";"MUFA 24:1 c";"Phenylalanine";"PUFA 18:2";"PUFA 18:2 c";"PUFA 18:2 CLAs";"PUFA 18:2 n-6 c,c";"PUFA 18:3";"PUFA 18:3 c";"PUFA 18:3 n-3 c,c,c (ALA)";"PUFA 18:3 n-6 c,c,c";"PUFA 18:3i";"PUFA 18:4";"PUFA 20:2 c";"PUFA 20:2 n-6 c,c";"PUFA 20:3";"PUFA 20:3 c";"PUFA 20:3 n-3";"PUFA 20:3 n-9";"PUFA 20:4";"PUFA 20:4 n-6";"PUFA 20:4c";"PUFA 20:5 n-3 (EPA)";"PUFA 20:5c";"PUFA 22:2";"PUFA 22:3";"PUFA 22:4";"PUFA 22:5 c";"PUFA 22:5 n-3 (DPA)";"PUFA 22:6 c";"PUFA 22:6 n-3 (DHA)";"Riboflavin";"SFA 14:0";"SFA 15:0";"SFA 16:0";"SFA 17:0";"SFA 18:0";"SFA 20:0";"SFA 21:0";"SFA 22:0";"SFA 23:0";"SFA 24:0";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"Vitamin D3 (cholecalciferol)";"holyRatio"
"fatty acids, cheese, cheddar, natural shredded sharp, store brand, great value";"fatty acids, cheese, cheddar, natural shredded sharp, store brand, great value";-Inf;-Inf;-Inf;-Inf;0;195.744680851064;4.15384615384615;-Inf;-Inf;6.54;0.067;-Inf;-Inf;0.002;-Inf;-Inf;0.002;-Inf;-Inf;-Inf;0.159;0.86;-Inf;-Inf;0.098;0.003;0;0.001;-Inf;0.007;-Inf;-Inf;0;0;0.059;0.041;-Inf;0.01;-Inf;0.002;-Inf;0.01;-Inf;0.017;-Inf;0.003;-Inf;2.86;0.314;8.78;0.186;3.5;0.048;-Inf;0.015;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded sharp, store brand, my essentials";"fatty acids, cheese, cheddar, natural shredded sharp, store brand, my essentials";-Inf;-Inf;-Inf;-Inf;0;204.255319148936;4.23076923076923;-Inf;-Inf;6.44;0.063;-Inf;-Inf;0.002;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.175;0.795;-Inf;-Inf;0.093;0.003;0.003;0;-Inf;0.007;-Inf;-Inf;0;0;0.051;0.034;-Inf;0.008;-Inf;0.002;-Inf;0.009;-Inf;0.015;-Inf;0;-Inf;2.94;0.303;8.3;0.178;3.34;0.044;-Inf;0.015;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded sharp, store brand, shop rite";"fatty acids, cheese, cheddar, natural shredded sharp, store brand, shop rite";-Inf;-Inf;-Inf;-Inf;0;212.765957446808;4.38461538461539;-Inf;-Inf;6.54;0.064;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.166;0.912;-Inf;-Inf;0.096;0.004;0.003;0.005;-Inf;0.007;-Inf;-Inf;0.001;0;0.05;0.038;-Inf;0.009;-Inf;0.002;-Inf;0.01;-Inf;0.015;-Inf;0.002;-Inf;2.97;0.309;8.62;0.188;3.47;0.047;-Inf;0.018;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, natural shredded sharp, store brand, skroger";"fatty acids, cheese, cheddar, natural shredded sharp, store brand, skroger";-Inf;-Inf;-Inf;-Inf;0;224.468085106383;5;-Inf;-Inf;6.14;0.063;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.149;0.64;-Inf;-Inf;0.133;0.004;0;0;-Inf;0.007;-Inf;-Inf;0.002;0;0.046;0.033;-Inf;0.014;-Inf;0.002;-Inf;0.007;-Inf;0.022;-Inf;0.003;-Inf;3.15;0.328;8.63;0.201;3.05;0.048;-Inf;0.016;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, sharp, block/chunk cabot, seriously sharp";"fatty acids, cheese, cheddar, sharp, block/chunk cabot, seriously sharp";-Inf;-Inf;-Inf;-Inf;0;251.595744680851;5;-Inf;-Inf;6.48;0.068;-Inf;-Inf;0.004;-Inf;-Inf;0.002;-Inf;-Inf;-Inf;0.182;0.582;-Inf;-Inf;0.1;0.003;0;0;-Inf;0.006;-Inf;-Inf;0.002;0;0.045;0.03;-Inf;0.011;-Inf;0.005;-Inf;0.007;-Inf;0.019;-Inf;0.003;-Inf;3.18;0.333;9.23;0.196;3.05;0.048;-Inf;0.016;-Inf;0.01;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, sharp, block/chunk kraft";"fatty acids, cheese, cheddar, sharp, block/chunk kraft";-Inf;-Inf;-Inf;-Inf;0;257.978723404255;5.12820512820513;-Inf;-Inf;6.49333333333333;0.068;-Inf;-Inf;0.001;-Inf;-Inf;0.000666666666666667;-Inf;-Inf;-Inf;0.175666666666667;0.723333333333333;-Inf;-Inf;0.103;0.003;0.00233333333333333;0;-Inf;0.007;-Inf;-Inf;0.000333333333333333;0;0.0523333333333333;0.0353333333333333;-Inf;0.00933333333333333;-Inf;0.00266666666666667;-Inf;0.00833333333333333;-Inf;0.018;-Inf;0.001;-Inf;3.28;0.351333333333333;9.51666666666667;0.203666666666667;3.06666666666667;0.0453333333333333;-Inf;0.0146666666666667;-Inf;0.00833333333333333;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, essential everyday";"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, essential everyday";-Inf;-Inf;-Inf;-Inf;0;226.595744680851;4.76923076923077;-Inf;-Inf;6.7;0.066;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.159;0.827;-Inf;-Inf;0.119;0.004;0.004;0.007;-Inf;0.008;-Inf;-Inf;0.001;0;0.051;0.036;-Inf;0.01;-Inf;0.002;-Inf;0.01;-Inf;0.019;-Inf;0.002;-Inf;3.14;0.339;8.82;0.198;3.3;0.048;-Inf;0.018;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, great value";"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, great value";-Inf;-Inf;-Inf;-Inf;0;202.127659574468;4.38461538461539;-Inf;-Inf;6.9;0.068;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.167;0.873;-Inf;-Inf;0.104;0.004;0.003;0;-Inf;0.008;-Inf;-Inf;0;0;0.058;0.041;-Inf;0.009;-Inf;0.002;-Inf;0.009;-Inf;0.016;-Inf;0;-Inf;2.96;0.301;8.55;0.189;3.78;0.053;-Inf;0.016;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, laura lynn";"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, laura lynn";-Inf;-Inf;-Inf;-Inf;0;242.553191489362;5.23076923076923;-Inf;-Inf;6.82;0.067;-Inf;-Inf;0.002;-Inf;-Inf;0.002;-Inf;-Inf;-Inf;0.159;0.813;-Inf;-Inf;0.123;0.005;0.004;0.007;-Inf;0.008;-Inf;-Inf;0.002;0;0.051;0.036;-Inf;0.01;-Inf;0.003;-Inf;0.01;-Inf;0.02;-Inf;0.002;-Inf;3.38;0.362;9.46;0.211;3.38;0.049;-Inf;0.019;-Inf;0.009;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, skroger";"fatty acids, cheese, cheddar, sharp, block/chunk, store brand, skroger";-Inf;-Inf;-Inf;-Inf;0;222.872340425532;4.84615384615385;-Inf;-Inf;6.76;0.062;-Inf;-Inf;0.002;-Inf;-Inf;0.001;-Inf;-Inf;-Inf;0.178;0.753;-Inf;-Inf;0.14;0.004;0;0;-Inf;0.007;-Inf;-Inf;0.003;0;0.05;0.033;-Inf;0.013;-Inf;0.002;-Inf;0.008;-Inf;0.022;-Inf;0.003;-Inf;3.14;0.328;8.72;0.201;3.46;0.051;-Inf;0.016;-Inf;0.01;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, dry white, queso seco, el mexicano brand";"fatty acids, cheese, dry white, queso seco, el mexicano brand";-Inf;-Inf;-Inf;-Inf;0.763358778625954;172.872340425532;3.46153846153846;-Inf;-Inf;5.01;0.041;-Inf;-Inf;0.002;-Inf;-Inf;0.003;-Inf;-Inf;-Inf;0.127;0.655;-Inf;-Inf;0.088;0.01;-Inf;0.006;-Inf;0.008;-Inf;-Inf;0.003;-Inf;0.039;0.03;-Inf;0.009;-Inf;0;-Inf;0.009;-Inf;0.016;-Inf;0.003;-Inf;2.11;0.22;5.84;0.14;2.69;0.038;-Inf;0.013;-Inf;0.008;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, dry white, queso seco, mixed composite";"fatty acids, cheese, dry white, queso seco, mixed composite";-Inf;-Inf;-Inf;-Inf;0.99236641221374;180.212765957447;3.53846153846154;-Inf;-Inf;5.13;0.0416;-Inf;-Inf;0.0026;-Inf;-Inf;0.0026;-Inf;-Inf;-Inf;0.136;0.7148;-Inf;-Inf;0.1142;0.009;-Inf;0.006;-Inf;0.0072;-Inf;-Inf;0.0022;-Inf;0.037;0.0274;-Inf;0.009;-Inf;0.002;-Inf;0.0086;-Inf;0.017;-Inf;0.0022;-Inf;2.192;0.23;6.148;0.1434;2.576;0.0382;-Inf;0.0132;-Inf;0.0088;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, string";"fatty acids, cheese, string";-Inf;-Inf;-Inf;-Inf;0;151.152482269504;3.08119658119658;-Inf;-Inf;4.17388888888889;0.0406666666666667;-Inf;-Inf;0.000722222222222222;-Inf;-Inf;5e-04;-Inf;-Inf;-Inf;0.105111111111111;0.505611111111111;-Inf;-Inf;0.0775;0.00177777777777778;0.00177777777777778;0;-Inf;0.00494444444444444;-Inf;-Inf;0.000333333333333333;0;0.0322222222222222;0.0215555555555556;-Inf;0.007;-Inf;0.00111111111111111;-Inf;0.00483333333333333;-Inf;0.0118888888888889;-Inf;0.000388888888888889;-Inf;1.87833333333333;0.200388888888889;5.44833333333333;0.122611111111111;1.95777777777778;0.0278333333333333;-Inf;0.00944444444444444;-Inf;0.00538888888888889;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cheese, swiss, slices";"fatty acids, cheese, swiss, slices";-Inf;-Inf;-Inf;-Inf;0;246.941489361702;4.81410256410256;-Inf;-Inf;6.36833333333333;0.0601666666666667;-Inf;-Inf;0.00191666666666667;-Inf;-Inf;0.000166666666666667;-Inf;-Inf;-Inf;0.16275;0.731416666666667;-Inf;-Inf;0.125083333333333;0.00158333333333333;0.00241666666666667;0.00133333333333333;-Inf;0.00658333333333333;-Inf;-Inf;0.0025;0;0.0464166666666667;0.03225;-Inf;0.00925;-Inf;0.00241666666666667;-Inf;0.00716666666666667;-Inf;0.0181666666666667;-Inf;0;-Inf;2.92166666666667;0.305416666666667;8.3425;0.189416666666667;3.18416666666667;0.0435833333333333;-Inf;0.0143333333333333;-Inf;0.00875;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, chicken breasts, boneless, skinless, non";"fatty acids, chicken breasts, boneless, skinless, non";-Inf;-Inf;-Inf;-Inf;0;82.5354609929078;0.115384615384615;-Inf;-Inf;1.085;0.0178333333333333;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.000833333333333333;0.598333333333333;-Inf;-Inf;0.026;0;0;0;-Inf;0.0111666666666667;-Inf;-Inf;0.000666666666666667;0;0.0863333333333333;0.0215;-Inf;0.00416666666666667;-Inf;0;-Inf;0.023;-Inf;0.0101666666666667;-Inf;0.007;-Inf;0.019;0.00433333333333333;0.745666666666667;0.004;0.211;0.002;-Inf;0.00483333333333333;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, chinese restaurant, fried rice";"fatty acids, chinese restaurant, fried rice";-Inf;-Inf;-Inf;-Inf;0;3.54609929078014;0.0769230769230769;-Inf;-Inf;0.574;0.006;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.00233333333333333;0.997;-Inf;-Inf;0.118;0.00533333333333333;0;0;-Inf;0.001;-Inf;-Inf;0;0;0.00233333333333333;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.0116666666666667;0.000333333333333333;0.346;0.002;0.112;0.00866666666666667;-Inf;0.00766666666666667;-Inf;0.00533333333333333;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, cottage cheese, ";"fatty acids, cottage cheese, ";-Inf;-Inf;-Inf;-Inf;0;12.9224030037547;0.271493212669683;-Inf;-Inf;0.417294117647059;0.00305882352941176;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.00929411764705882;0.0491764705882353;-Inf;-Inf;0.00705882352941176;0;0;0;-Inf;5.88235294117647e-05;-Inf;-Inf;0;0;0.00288235294117647;0.00229411764705882;-Inf;0.000529411764705882;-Inf;0;-Inf;0.000176470588235294;-Inf;0.000529411764705882;-Inf;0;-Inf;0.199352941176471;0.0214705882352941;0.564117647058824;0.0102941176470588;0.227058823529412;0.00288235294117647;-Inf;0.000647058823529412;-Inf;0.000294117647058824;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, greek yogurt, chobani plain non";"fatty acids, greek yogurt, chobani plain non";-Inf;-Inf;-Inf;-Inf;0;1.41843971631206;0;-Inf;-Inf;0.0493333333333333;0.00166666666666667;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;0.0106666666666667;-Inf;-Inf;0.00166666666666667;0;0;0;-Inf;0;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.018;0.00333333333333333;0.0556666666666667;0.003;0.0226666666666667;0;-Inf;0;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, greek yogurt, dannon oikos plain non";"fatty acids, greek yogurt, dannon oikos plain non";-Inf;-Inf;-Inf;-Inf;0;1.06382978723404;0;-Inf;-Inf;0.0333333333333333;0.00166666666666667;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;0.0116666666666667;-Inf;-Inf;0.000666666666666667;0;0;0;-Inf;0;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.0123333333333333;0.003;0.039;0.00333333333333333;0.0173333333333333;0.000666666666666667;-Inf;0;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, greek yogurt, fage plain nonfat";"fatty acids, greek yogurt, fage plain nonfat";-Inf;-Inf;-Inf;-Inf;0;0.354609929078014;0;-Inf;-Inf;0.0353333333333333;0.00166666666666667;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;0.007;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.001;-Inf;0.0113333333333333;0.00333333333333333;0.04;0.002;0.0186666666666667;0;-Inf;0;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, ground turkey, ";"fatty acids, ground turkey, ";-Inf;-Inf;-Inf;-Inf;0;178.945035460993;1.40384615384615;-Inf;-Inf;3.02916666666667;0.03675;-Inf;-Inf;0.00175;-Inf;-Inf;0.00333333333333333;-Inf;-Inf;-Inf;0.0176666666666667;2.76;-Inf;-Inf;0.156583333333333;0.00816666666666667;0;0.001;-Inf;0.01825;-Inf;-Inf;0.00175;-Inf;0.146833333333333;0.013;-Inf;0.00466666666666667;-Inf;5e-04;-Inf;0.0271666666666667;-Inf;0.0135833333333333;-Inf;0.0101666666666667;-Inf;0.0849166666666667;0.0126666666666667;1.835;0.025;0.704583333333333;0.00891666666666667;-Inf;0.00283333333333333;-Inf;0.00125;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, haddock, raw";"fatty acids, haddock, raw";-Inf;-Inf;-Inf;-Inf;0;1.79521276595745;0.471153846153846;-Inf;-Inf;0.0365;0.004875;-Inf;-Inf;0.001625;-Inf;-Inf;0.003875;-Inf;-Inf;-Inf;0;0.014375;-Inf;-Inf;0.001625;0;-Inf;0.001625;-Inf;0.001;-Inf;-Inf;0.001;-Inf;0.008875;0.000875;-Inf;0.0415;-Inf;0;-Inf;0.001125;-Inf;0.004625;-Inf;0.08875;-Inf;0.00425;0.001125;0.06275;0.000875;0.020125;0.000125;-Inf;0;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, mozzarella cheese, low";"fatty acids, mozzarella cheese, low";-Inf;-Inf;-Inf;-Inf;0;130.348699763593;2.84188034188034;-Inf;-Inf;4.04777777777778;0.0363333333333333;-Inf;-Inf;0.000277777777777778;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.0986111111111111;0.471722222222222;-Inf;-Inf;0.0726666666666667;5.55555555555556e-05;0.00211111111111111;0;-Inf;0.0045;-Inf;-Inf;0.000666666666666667;0;0.0314444444444444;0.0215555555555556;-Inf;0.006;-Inf;0.000111111111111111;-Inf;0.00572222222222222;-Inf;0.0115;-Inf;5.55555555555556e-05;-Inf;1.91;0.197166666666667;5.32555555555556;0.118611111111111;2.06555555555556;0.0285555555555556;-Inf;0.00727777777777778;-Inf;0.00494444444444444;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, mustard, yellow, frenchs classic";"fatty acids, mustard, yellow, frenchs classic";-Inf;-Inf;-Inf;-Inf;0;4.25531914893617;0.0769230769230769;-Inf;-Inf;0.892;0.354;-Inf;-Inf;1.24;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;0.391;-Inf;-Inf;0.4;0.002;0;0;-Inf;0.01;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;0.012;-Inf;0;-Inf;0;-Inf;0;-Inf;0.005;0.003;0.132;0.002;0.042;0.025;-Inf;0.018;-Inf;0.011;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, oil, coconut, better body organic";"fatty acids, oil, coconut, better body organic";-Inf;-Inf;-Inf;-Inf;0;8.51063829787234;0;-Inf;-Inf;6.28;0.041;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;1.78;-Inf;-Inf;0.028;0;0;0;-Inf;0;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;16.6;0.014;8.41;0.009;2.48;0.076;-Inf;0.017;-Inf;0.031;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, oil, coconut, lou ana";"fatty acids, oil, coconut, lou ana";-Inf;-Inf;-Inf;-Inf;0;8.72340425531915;0;-Inf;-Inf;6.246;0.041;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0;1.656;-Inf;-Inf;0.0178;0;0;0;-Inf;0;-Inf;-Inf;0;0;0;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;16.66;0.0148;8.682;0.0092;2.524;0.0766;-Inf;0.0194;-Inf;0.0314;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, onion rings, frozen, alexia";"fatty acids, onion rings, frozen, alexia";-Inf;-Inf;-Inf;-Inf;0;7.4468085106383;0.615384615384615;-Inf;-Inf;3.01;0.037;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.00366666666666667;7.29333333333333;-Inf;-Inf;0.966666666666667;0.0476666666666667;0;0;-Inf;0.003;-Inf;-Inf;0;0;0.00366666666666667;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.0113333333333333;0.00466666666666667;1.54666666666667;0.0146666666666667;0.599666666666667;0.0303333333333333;-Inf;0.0413333333333333;-Inf;0.0153333333333333;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, onion rings, frozen, ore";"fatty acids, onion rings, frozen, ore";-Inf;-Inf;-Inf;-Inf;0;5.67375886524823;0.538461538461538;-Inf;-Inf;2.60333333333333;0.0416666666666667;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.005;6.18666666666667;-Inf;-Inf;0.795;0.0466666666666667;0;0;-Inf;0.00366666666666667;-Inf;-Inf;0;0;0.00533333333333333;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.0106666666666667;0.00333333333333333;1.35333333333333;0.0126666666666667;0.518666666666667;0.0386666666666667;-Inf;0.0373333333333333;-Inf;0.0143333333333333;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, onion rings, frozen, store brand/other";"fatty acids, onion rings, frozen, store brand/other";-Inf;-Inf;-Inf;-Inf;0;6.91489361702128;0.538461538461538;-Inf;-Inf;2.8;0.054;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.001;6.16;-Inf;-Inf;0.734;0.047;0;0;-Inf;0.003;-Inf;-Inf;0;0;0.006;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.012;0.004;1.44;0.013;0.56;0.043;-Inf;0.042;-Inf;0.015;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, kraft ";"fatty acids, parmesan cheese, grated, kraft ";-Inf;-Inf;-Inf;-Inf;0;151.77304964539;3.6025641025641;-Inf;-Inf;5.585;0.0526666666666667;-Inf;-Inf;0.000833333333333333;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.1485;0.8135;-Inf;-Inf;0.1005;0.000166666666666667;0.00283333333333333;0;-Inf;0.0075;-Inf;-Inf;0.0015;0;0.0528333333333333;0.0343333333333333;-Inf;0.007;-Inf;0.000666666666666667;-Inf;0.011;-Inf;0.0153333333333333;-Inf;5e-04;-Inf;2.63333333333333;0.266166666666667;6.985;0.1645;3.09666666666667;0.044;-Inf;0.0123333333333333;-Inf;0.00866666666666667;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, store brand/other brand, flora & hyvee";"fatty acids, parmesan cheese, grated, store brand/other brand, flora & hyvee";-Inf;-Inf;-Inf;-Inf;0;153.723404255319;3.38461538461538;-Inf;-Inf;6.79;0.056;-Inf;-Inf;0.001;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.111;1.13;-Inf;-Inf;0.104;0.005;0.003;0;-Inf;0.005;-Inf;-Inf;0.002;0;0.031;0.021;-Inf;0.007;-Inf;0;-Inf;0.006;-Inf;0.013;-Inf;0;-Inf;2.12;0.221;8.57;0.137;2.29;0.055;-Inf;0.012;-Inf;0.011;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, store brand/other brand, great value";"fatty acids, parmesan cheese, grated, store brand/other brand, great value";-Inf;-Inf;-Inf;-Inf;0;181.914893617021;4;-Inf;-Inf;4.93;0.047;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.141;0.531;-Inf;-Inf;0.101;0;0.003;0;-Inf;0.006;-Inf;-Inf;0;0;0.039;0.025;-Inf;0.009;-Inf;0.003;-Inf;0.007;-Inf;0.017;-Inf;0;-Inf;2.55;0.267;7.09;0.16;2.42;0.036;-Inf;0.01;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, store brand/other brand, kroger";"fatty acids, parmesan cheese, grated, store brand/other brand, kroger";-Inf;-Inf;-Inf;-Inf;0;214.36170212766;4.84615384615385;-Inf;-Inf;6.27;0.059;-Inf;-Inf;0.002;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.172;0.697;-Inf;-Inf;0.143;0.001;0.004;0.001;-Inf;0.008;-Inf;-Inf;0.004;0;0.049;0.033;-Inf;0.012;-Inf;0.001;-Inf;0.007;-Inf;0.021;-Inf;0.001;-Inf;3.09;0.327;8.54;0.197;3.06;0.045;-Inf;0.01;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, store brand/other brand, my essentials & sunnyside farms";"fatty acids, parmesan cheese, grated, store brand/other brand, my essentials & sunnyside farms";-Inf;-Inf;-Inf;-Inf;0;139.893617021277;3.07692307692308;-Inf;-Inf;6.51;0.048;-Inf;-Inf;0.001;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.117;1.12;-Inf;-Inf;0.096;0.004;0.002;0;-Inf;0.004;-Inf;-Inf;0.003;0;0.029;0.017;-Inf;0.007;-Inf;0.002;-Inf;0.004;-Inf;0.013;-Inf;0;-Inf;1.86;0.191;8.13;0.124;2.1;0.053;-Inf;0.011;-Inf;0.011;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, store brand/other brand, price chopper";"fatty acids, parmesan cheese, grated, store brand/other brand, price chopper";-Inf;-Inf;-Inf;-Inf;0;70.7446808510638;1.61538461538462;-Inf;-Inf;7.25;0.031;-Inf;-Inf;0;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.061;1.56;-Inf;-Inf;0.07;0.005;0;0;-Inf;0;-Inf;-Inf;0;0;0.012;0.007;-Inf;0.004;-Inf;0;-Inf;0.002;-Inf;0.006;-Inf;0;-Inf;0.972;0.096;8.51;0.065;1.48;0.067;-Inf;0.014;-Inf;0.015;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, parmesan cheese, grated, store brand/other brand, safeway kitchens";"fatty acids, parmesan cheese, grated, store brand/other brand, safeway kitchens";-Inf;-Inf;-Inf;-Inf;0;158.510638297872;3.38461538461538;-Inf;-Inf;4.16;0.039;-Inf;-Inf;0.001;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.167;0.412;-Inf;-Inf;0.103;0;0.003;0.002;-Inf;0.003;-Inf;-Inf;0.001;0;0.029;0.018;-Inf;0.01;-Inf;0.004;-Inf;0.004;-Inf;0.016;-Inf;0.001;-Inf;2.22;0.233;5.99;0.14;2.1;0.031;-Inf;0.01;-Inf;0.007;-Inf;-Inf;-Inf;-Inf;-Inf;0
"fatty acids, peanut butter, creamy, jif";"fatty acids, peanut butter, creamy, jif";-Inf;-Inf;-Inf;-Inf;0;16.2234042553191;2.16666666666667;-Inf;-Inf;24.7833333333333;0.5875;-Inf;-Inf;0.046;-Inf;-Inf;0;-Inf;-Inf;-Inf;0.0115;12.2;-Inf;-Inf;0.0275;0.001;0;0;-Inf;0.00833333333333333;-Inf;-Inf;0.0101666666666667;0;0.0183333333333333;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0;-Inf;0.0185;0.00583333333333333;4.71333333333333;0.0458333333333333;2.23166666666667;0.7285;-Inf;1.77666666666667;-Inf;0.741666666666667;-Inf;-Inf;-Inf;-Inf;-Inf;0
